BFY,FTYP,FUNDTYPE,DEPARTMENT,RSRC,REVSOURCE,BUDCURR,REVBFY
2022,GNFD,General Fund,Equip & Bldg Svcs,7890,Parking Courts 2014 Main Taxab,0,0
2022,INSV,Internal Service Fund,Equip & Bldg Svcs,8437,Misc-Gain On Sle Of Fxd Asset,0,101800
2023,INSV,Internal Service Fund,Equipment & Fleet Management,9400,Intrd Rev-Rental,36369816,8593321.26
2022,GNFD,General Fund,Office Of Cultural Affairs,7845,Parking-tax exempt/non taxable,8400,8932
2023,GNFD,General Fund,Library,7211,Chgs Serv-City Wide Over/Short,0,39.28
2023,GNFD,General Fund,Park & Recreation,7224,Non-Resident Adult Activy Card,20550,5052.27
2023,EFOP,Enterprise Operating Fund,Water Utilities,R114,Gain/Loss Sale Of Investment,0,-448888.02
2022,GNFD,General Fund,Code Compliance,7457,Demolition Service Fees,510000,1333114.24
2023,GNFD,General Fund,Park & Recreation,7210,Chgs Serv-Swim Pool Card Age 18+ / Group Mission,148823,0
2023,GNFD,General Fund,Office of Budget,7550,Service Charge Nsf Checks,60,0
2022,GNFD,General Fund,Public Works & Transporation,8428,Misc-Misc Revenue,1377,3263.2
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704P,Pre-Development Meetings-Structure,134833,85750
2022,GNFD,General Fund,Office of Budget,8204,Othr Sale-Fran Taxes-Sw Bell,3883411,4494500.47
2023,GNFD,General Fund,Public Works & Transporation,758A,Small Cell Application Review Fees,120000,10500
2022,EFOP,Enterprise Operating Fund,Aviation,8116,Amortized Discount/Premium Int,0,73663.28
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8410,Misc-Rental Othr Properties,0,50
2023,GNFD,General Fund,Transportation,8042,NON-taxable Parking Permit Revenue,30000,9427.37
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7292,Chgs Serv-Cancellation Fees,0,722968
2023,GNFD,General Fund,Office of Budget,9227,Radio Servies Indirect Cost,616378,0
2022,GNFD,General Fund,Code Compliance,7468,Food Permit Application Fee,237533,115395
2022,EFOP,Enterprise Operating Fund,Water Utilities,8116,Amortized Discount/Premium Int,0,342483.72
2023,GNFD,General Fund,Office of Budget,8222,Verizon Video Franchise Fees,52000,10337.32
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8424,Misc-Taxable Sales,5000,11435.62
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7048,Board Of Adjustments/Sign,179441,147715
2023,GNFD,General Fund,Office of Budget,8223,"Grande Comm. Networks, Inc. Cable Franchise Fees",2800,618.39
2023,GNFD,General Fund,Dallas Fire Department,6371,False Fire Alarm Fee,809,377.16
2023,GNFD,General Fund,Public Works & Transporation,6313,Lics/Pmts-Dance Halls,7500,19021
2023,DSGO,General Obligation Debt Service,Office of Budget,R114,Gain/Loss Sale Of Investment,0,-225431.98
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7528,Zoning Verif Letter-Non Taxabl,98610,35050
2023,GNFD,General Fund,Park & Recreation,7237,Tennis Lessons,5382,236.5
2022,GNFD,General Fund,Office of Budget,8222,Verizon Video Franchise Fees,64000,34297.56
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8437,Misc-Gain On Sle Of Fxd Asset,0,63150
2022,GNFD,General Fund,Dallas Police Dept,8048,Habitual Criminal Property - Non-Residential Property,0,6894
2023,GNFD,General Fund,Dallas Fire Department,7550,Service Charge Nsf Checks,255,0
2022,EFOP,Enterprise Operating Fund,Aviation,7718,Concession Revenue: Love Connection & Others,0,713151.15
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7529,Zoning Notify Sign Non Tax,7514,4230
2023,INSV,Internal Service Fund,Equipment & Fleet Management,9403,Intfd Rev-Wreck,5796563,1209777.68
2022,GNFD,General Fund,Office of Budget,9211,Intfd Rev-Convent Ctr Indirect,274139,274139
2022,GNFD,General Fund,Office of Budget,9208,Intfd Rev-Wtr Dept-Indir Cst R,5970753,5970753
2023,DSGO,General Obligation Debt Service,Office of Budget,9204,Interfund Transfer-Pension Obligation Bond,17431049,0
2022,GNFD,General Fund,Dallas Fire Department,788D,Fire Registration Fee,219895,231800
2023,GNFD,General Fund,Park & Recreation,7246,Chgs Serv-Golf Green Fees Jr,27127,10001.61
2022,GNFD,General Fund,City Attorney,8428,Misc-Misc Revenue,25000,746.05
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704I,Consultation Fee-Staff Time,79,8800
2023,EFOP,Enterprise Operating Fund,Aviation,7812,Chgs Serv-Aviatin Fuel Flow Fe,75000,102603.73
2023,GNFD,General Fund,Office of Budget,9239,Employee Health Benfit Indir,442447,0
2023,GNFD,General Fund,Code Compliance,7406,Public Swimming Pool Permit Fee,123960,19193
2022,GNFD,General Fund,Office of Budget,9224,Intfd Rev-Equip Svc Indir Cst,2082749,2082749
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,9499,Disc For Prompt Payment,0,-672902.84
2023,GNFD,General Fund,Office of Budget,9229,Intfd Rev-Refunds-Intr Fund Re,5000000,0
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8201,Othr Sales-Alcoholic Beverages,11653405,16939553.73
2022,GNFD,General Fund,Library,7291,GED Testing Center Revenue,12000,625
2023,GNFD,General Fund,Office of Budget,6520,Igovt Rev-Euless,5512581,6913318
2023,GNFD,General Fund,Court & Detention Services,8010,Fines/For-Munic Ct Other,30000,17714.54
2022,INSV,Internal Service Fund,Communication & Info Svcs,8104,Accrued Interest On Poold Inv,0,34352.15
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7820,Print And Map Sales Non Taxabl,1789,481
2023,INSV,Internal Service Fund,Equipment & Fleet Management,9405,Intfd Rev-Direct Work Order,419231,136989.96
2022,GNFD,General Fund,Office of Budget,7506,Chgs Serv-Security Alarm Fee,4588615,4005430.84
2023,GNFD,General Fund,Dallas Fire Department,788I,Fire Inspection-Health Care,17982,10058
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,9502,Hotel Occup Tax-Penalty,0,277932.65
2023,GNFD,General Fund,Park & Recreation,7241,Chgs Serv-Golfcar Cds Sr/Hhdcp,150,0
2022,GNFD,General Fund,Library,8004,Fines/For-Library,14800,10570.9
2022,GNFD,General Fund,Park & Recreation,7282,Recreation Center Id 06?11,59531,790.5
2023,GNFD,General Fund,Code Compliance,7550,Service Charge Nsf Checks,0,240
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,781V,Chgs Serv-Venue & Promotors Ordinance,0,11725
2023,GNFD,General Fund,Public Works & Transporation,7277,Chg Serv-Interest On Del Accts,37890,58808.35
2023,EFOP,Enterprise Operating Fund,Water Utilities,8458,Misc-Water Special Assessments,31580,0
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7550,Service Charge Nsf Checks,2115,445
2022,GNFD,General Fund,Court & Detention Services,8013,Part Pay Installment Fee City,120000,141630.01
2023,GNFD,General Fund,Office of Budget,7425,Weed Cutting-Paid Liens,0,-1452.75
2022,INSV,Internal Service Fund,Public Works & Transporation,7045,After Hours Inspection,99000,28690
2023,GNFD,General Fund,City Secretary,751A,Chg Serv.-Open Records Requests.,7500,4800.05
2023,GNFD,General Fund,Office of Budget,7457,Demolition Service Fees,0,7846.86
2022,GNFD,General Fund,Code Compliance,756B,Preclosure,109477,41535
2023,EFOP,Enterprise Operating Fund,Aviation,7707,DAL Ground/Field Rental,12114888,6871772.81
2022,GNFD,General Fund,Library,8552,Bad Check Fees,100,25
2023,GNFD,General Fund,Dallas Police Dept,8424,Misc-Taxable Sales,11600,10226.39
2022,GNFD,General Fund,Park & Recreation,723A,Chgs Serv-Athletic Field Reven,515948,520423.66
2022,GNFD,General Fund,Code Compliance,7492,Mobile Food Units Permit Fee,163787,81226
2022,EFOP,Enterprise Operating Fund,Aviation,7816,Facil & Equip Rental Non Taxab,0,2986
2023,GNFD,General Fund,Dallas Fire Department,7654,Chgs Serv-RRC Overdose Response Team,0,22527.33
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,748C,Tipper Service-Taxable,105285,0
2023,GNFD,General Fund,Code Compliance,6354,Food Service Manager Registration Fee,441163,265780
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787C,Infrastructure Inspection,416173,515118.33
2023,EFOP,Enterprise Operating Fund,Aviation,7710,Concession Revenue: Food/Beverage,10423166,6029805.32
2022,EFOP,Enterprise Operating Fund,Aviation,7717,Concession Revenues: NTTA,14400004,15423319.39
2022,GNFD,General Fund,Dallas Police Dept,7211,Chgs Serv-City Wide Over/Short,0,-8.82
2023,GNFD,General Fund,Office of Budget,9211,Intfd Rev-Convent Ctr Indirect,274139,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7041,Registrations,1052509,629300
2023,GNFD,General Fund,Library,7278,Chgs Serv-Int On Del Accounts,0,92.25
2023,EFOP,Enterprise Operating Fund,Water Utilities,7856,Chgs Serv-Late Paymt Penal-Wt,3200000,1453156.58
2023,DSGO,General Obligation Debt Service,Office of Budget,8100,Interest On Pooled Invest-Cash,0,1551982.62
2022,GNFD,General Fund,Library,7211,Chgs Serv-City Wide Over/Short,0,-1.79
2022,GNFD,General Fund,City Attorney,7400,Chgs Serv-City Attor-D/Fw Airp,454439,174550.9
2023,GNFD,General Fund,Office of Budget,7813,Chgs Serv-Service Charges,0,2125
2022,GNFD,General Fund,Park & Recreation,850A,Restitution,12636,0
2023,GNFD,General Fund,Court & Detention Services,8550,Security Services,160000,50929.4
2023,GNFD,General Fund,Dallas Police Dept,8100,Interest On Pooled Invest-Cash,0,182.08
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787E,Escarpment Permit Nontaxable,2000,2000
2023,GNFD,General Fund,Dallas Police Dept,8039,Mandatory Crime Reduction Program Fee,1400,709
2022,INSV,Internal Service Fund,Public Works & Transporation,9420,Intrd Rev-DWU Reimb for Non-Bond Projects,1208067,1242288.75
2023,OTHO,Other Operating Fund,Communication & Info Svcs,8116,Amortized Discount/Premium Int,0,24196.85
2022,INSV,Internal Service Fund,Communication & Info Svcs,8569,Electronic Circuits Telephone,7650701,930597.98
2022,GNFD,General Fund,Management Services,704D,Demolition Permit,7200,0
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8116,Amortized Discount/Premium Int,0,16120.94
2023,GNFD,General Fund,Management Services,6511,Igovt Rev-Dallas County,1000000,500000
2023,GNFD,General Fund,Dallas Fire Department,788D,Fire Registration Fee,219895,145400
2023,GNFD,General Fund,Management Services,8410,Misc-Rental Othr Properties,60000,23200
2022,GNFD,General Fund,Park & Recreation,7251,Chgs Serv-Glf Gf Aft 4PM Hol,313087,363710.55
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7810,Chgs Serv-Print(Docu Frms)Sale,13,0
2022,GNFD,General Fund,Dallas Fire Department,6370,Lics/Pmts-Fire Prevent Permit,851041,876394.84
2022,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8116,Amortized Discount/Premium Int,0,19290.66
2023,EFOP,Enterprise Operating Fund,Aviation,8437,Misc-Gain On Sle Of Fxd Asset,0,2600
2023,GNFD,General Fund,Office of Budget,8203,Othr Sale-Fran Txes-Tu Electri,50747564,28682591.16
2023,EFOP,Enterprise Operating Fund,Water Utilities,8103,Interest-Miscelleaneous,0,208975
2023,EFOP,Enterprise Operating Fund,Aviation,7856,Chgs Serv-Late Paymt Penal-Wt,10000,12
2023,GNFD,General Fund,Park & Recreation,721B,Chgs Serv-Cooler Entry Fee Bahama Beach,16699,0
2023,GNFD,General Fund,Office of Budget,6007,Prop.Taxs-Penalty & Interest,5691551,3823720.02
2022,EFOP,Enterprise Operating Fund,Aviation,8446,Misc-Sale Cty Surp Prp/Txbl Sl,0,64570
2023,GNFD,General Fund,Park & Recreation,8483,Misc-Building Lease,0,11371.44
2022,GNFD,General Fund,Dallas Fire Department,7564,Mobile Community Health Program,214981,0
2023,GNFD,General Fund,City Attorney,7289,Other Collectible Cost Recopument,8500,40
2022,GNFD,General Fund,Park & Recreation,7249,Charg For-Golf Grnfees Bef4HOL,1032288,976028.68
2022,GNFD,General Fund,Code Compliance,8586,Credit Access Bus Reg Fee,9520,2954
2023,GNFD,General Fund,Dallas Police Dept,7565,PEB-Police Equipment Billing Program,300000,121932.38
2022,GNFD,General Fund,Park & Recreation,7250,Charg For-Glf Gf Aft 4PM Wkdy,195670,200689.42
2022,GNFD,General Fund,Dallas Fire Department,741A,Chgs Serv-Ambulance Supplement,9312377,6290277.57
2022,GNFD,General Fund,Park & Recreation,7252,Chgs Serv-Golf Pro Revenue Commission,331769,481586.7
2022,INSV,Internal Service Fund,Park & Recreation,9418,Intrd Rev-GF Reimb for Non-Bond Projects,641501,670726.12
2022,EFOP,Enterprise Operating Fund,Aviation,6394,Lics/Pmts-Transportation for Hire,232630,225089
2022,EFOP,Enterprise Operating Fund,Aviation,7716,Concession Revenue: Valet,1931490,2838758.08
2023,GNFD,General Fund,Park & Recreation,723A,Chgs Serv-Athletic Field Reven,515948,155680.84
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787W,Water Service Availa Nontaxabl,73100,43200
2023,GNFD,General Fund,Dallas Police Dept,8433,Misc-Uncl Mon-Pol Prop Rm N/T,100000,89566.09
2022,OTHO,Other Operating Fund,Communication & Info Svcs,7912,Wireline Revenues,5146163,5852023.09
2022,GNFD,General Fund,Dallas Police Dept,8100,Interest On Pooled Invest-Cash,0,95.61
2023,OTHO,Other Operating Fund,Risk Management,8104,Accrued Interest On Poold Inv,0,0
2023,GNFD,General Fund,Park & Recreation,7220,Recreation Small Room Fee,44851,5728.18
2023,INSV,Internal Service Fund,Communication & Info Svcs,7456,Misc for Services,2782139,0
2022,GNFD,General Fund,Water Utilities,8416,Misc-Proceeds Fr Sale Of Land,0,0
2023,GNFD,General Fund,Park & Recreation,7229,Receration Center Id 63-Over,28287,17366.63
2023,GNFD,General Fund,Court & Detention Services,7454,Chgs Serv-Parking,5200,6349.09
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,748E,Sanit Coll-Cash Customer Premium Fee,900680,0
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,781A,Chgs Serv-Special Event Permit,75000,106013.48
2022,EFOP,Enterprise Operating Fund,Water Utilities,7855,Chgs Serv-Serv Charges-Water,3300000,736189
2022,GNFD,General Fund,Management Services,7514,Air Pollution Emmission Fee,87500,0
2023,GNFD,General Fund,Office of Budget,8213,Commercial Container Fee -Fran,3648943,2554724.72
2022,GNFD,General Fund,Library,7853,Chgs Serv-Parking-Centrl Libra,60000,0
2022,GNFD,General Fund,Office of Budget,6302,Lics/Pmts-Liquor Licenses,524221,657910.87
2022,GNFD,General Fund,Public Works & Transporation,8406,Misc-Assessments,0,-2001.64
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787D,Addendum Fees,18176,21224
2023,INSV,Internal Service Fund,Public Works & Transporation,9417,Intrd Rev-GO Bond Reimbursement,10065496,3551137.92
2023,GNFD,General Fund,City Controller's Office,8428,Misc-Misc Revenue,50000,15315.16
2022,GNFD,General Fund,Code Compliance,8428,Misc-Misc Revenue,970819,217.75
2023,GNFD,General Fund,Dallas Fire Department,788F,Fire Inspection-Hazardous Materials,142569,70740
2023,GNFD,General Fund,Park & Recreation,7225,Tennis Singles Court Fee,5190,502.3
2022,GNFD,General Fund,Transportation,8042,NON-taxable Parking Permit Revenue,64216,51211.59
2023,GNFD,General Fund,Office of Budget,8420,Misc-Handling Charges,0,125
2023,GNFD,General Fund,Code Compliance,6339,Lics/Pmts-Home Repair,176898,22992
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704X,Partial Team Review Fee,0,500
2022,EFOP,Enterprise Operating Fund,Water Utilities,7810,Chgs Serv-Print(Docu Frms)Sale,7500,0
2022,GNFD,General Fund,Code Compliance,6381,Commercial Vacant Building Registration,2400,0
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8415,Misc-Sale of Fixed Assets,0,-63150
2023,EFOP,Enterprise Operating Fund,Aviation,7277,Chg Serv-Interest On Del Accts,0,-162.16
2022,EFOP,Enterprise Operating Fund,Water Utilities,7849,Chgs Serv-Raw Wat-Totl Rev Whs,9440156,10128022.19
2022,DSGO,General Obligation Debt Service,Office of Budget,6002,Prop.Taxs-Rl Est-Pr Rolls,877220,1412411.22
2023,EFOP,Enterprise Operating Fund,Water Utilities,8415,Misc-Sale of Fixed Assets,0,-9900
2022,GNFD,General Fund,Dallas Police Dept,8428,Misc-Misc Revenue,26532,6168.95
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7048,Board Of Adjustments/Sign,153687,64920
2023,GNFD,General Fund,Office Of Cultural Affairs,7219,Chgs Serv-Bldg Use Fee,780656,299473.72
2023,INSV,Internal Service Fund,Communication & Info Svcs,8116,Amortized Discount/Premium Int,0,69746.06
2023,INSV,Internal Service Fund,Public Works & Transporation,9418,Intrd Rev-GF Reimb for Non-Bond Projects,1330195,521892.95
2023,GNFD,General Fund,Code Compliance,7487,Annual Food Late Inspection Fee,362215,113334
2022,INSV,Internal Service Fund,Equip & Bldg Svcs,8415,Misc-Sale of Fixed Assets,0,-101800
2023,GNFD,General Fund,Office of Budget,8116,Amortized Discount/Premium Int,0,1492748.02
2022,EFOP,Enterprise Operating Fund,Aviation,7715,Concession Revenue: Garage Parking,14400000,15399049.9
2023,EFOP,Enterprise Operating Fund,Aviation,8488,Miscellaneous Refunds,0,11067.09
2022,GNFD,General Fund,Transportation,8007,Fines/Parking Fines,5351084,4457629.84
2022,EFOP,Enterprise Operating Fund,Water Utilities,8437,Misc-Gain On Sle Of Fxd Asset,0,90950
2022,DSGO,General Obligation Debt Service,Office of Budget,8100,Interest On Pooled Invest-Cash,0,328601.15
2023,GNFD,General Fund,Park & Recreation,7214,Chgs Serv-Swim Pool Age 12/17,581342,0
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,781V,Chgs Serv-Venue & Promotors Ordinance,0,1925
2022,GNFD,General Fund,Office of Budget,8420,Misc-Handling Charges,0,4165.2
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,8116,Amortized Discount/Premium Int,0,742.65
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,7885,Private Disposal Fees Taxable,908685,0
2022,DSGO,General Obligation Debt Service,Office of Budget,6001,Prop.Taxs-Real Est-Current,318750529,318784427.15
2022,GNFD,General Fund,Dallas Police Dept,7456,Misc for Services,49897,119271.63
2023,GNFD,General Fund,Public Works & Transporation,6526,Igovt Rev-Misc Reimbursements,1241103,0
2023,GNFD,General Fund,Office of Budget,7515,Multi-Tenant Re-Inspection Fee,0,7272.81
2023,GNFD,General Fund,Building Services,8440,Misc-Bullington St Truck Terminal,208070,247622
2022,GNFD,General Fund,Dallas Fire Department,788E,Fire Inspection-Public Assembly,159200,86700
2022,OTHO,Other Operating Fund,Communication & Info Svcs,7550,Service Charge Nsf Checks,0,25
2022,GNFD,General Fund,Code Compliance,7406,Public Swimming Pool Permit Fee,123960,28160
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704S,Bldg Permit Single Family,2445370,3015253.14
2023,GNFD,General Fund,Dallas Fire Department,8446,Misc-Sale Cty Surp Prp/Txbl Sl,0,129910
2022,EFOP,Enterprise Operating Fund,Aviation,7277,Chg Serv-Interest On Del Accts,0,162.16
2022,GNFD,General Fund,Park & Recreation,7216,Chgs Serv-Swim Pool Rental,35000,27010
2022,GNFD,General Fund,Park & Recreation,7246,Chgs Serv-Golf Green Fees Jr,27127,26789.57
2022,EFOP,Enterprise Operating Fund,Aviation,7811,Chgs Serv-Aviation Concessions,6010776,12168054.58
2022,DSGO,General Obligation Debt Service,Office of Budget,6003,Dealer Motor Vehicle Inventory Tax,0,12153.58
2022,GNFD,General Fund,Code Compliance,7356,Secured Closure Delinquent Col,223663,359135.43
2023,GNFD,General Fund,Code Compliance,7356,Secured Closure Delinquent Col,223663,137815.24
2023,GNFD,General Fund,Park & Recreation,8411,Misc-Gifts & Donations,0,4135.78
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704I,Consultation Fee-Staff Time,0,97440
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704J,Expedited Plan Review Per Trade,200493,178000
2022,GNFD,General Fund,Park & Recreation,7220,Recreation Small Room Fee,44851,14136.82
2023,GNFD,General Fund,Code Compliance,742H,Chgs Serv-Heavy Clean-Paid Liens,293801,760739.85
2022,GNFD,General Fund,Library,7544,Cd Rom Copy Sales,130000,3.37
2022,GNFD,General Fund,Park & Recreation,7200,Chgs Serv-Tennis Tourn Ct Fee,10811,387.75
2022,GNFD,General Fund,Transportation,8428,Misc-Misc Revenue,1171303,52647
2022,GNFD,General Fund,Housing/Community Services,6503,Igovt Rev-Co Of Dallas-Tb Reim,439451,0
2022,INSV,Internal Service Fund,Public Works & Transporation,9417,Intrd Rev-GO Bond Reimbursement,9389004,8647345.33
2022,EFOP,Enterprise Operating Fund,Aviation,6390,Lics/Pmts-Ambulance,77266,53468
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,8116,Amortized Discount/Premium Int,0,234599.79
2022,GNFD,General Fund,Office of Budget,6374,Lics/Pmts-Special Services Bus,4600,4165
